e, e_dot, e_int, stamp, 
0.030468538434145147, -5.796596795191017e-10, 0.0028013411969575663, 1761171399976487845, 
0.030468538371531923, -4.1403820023880347e-10, 0.0028205876196567285, 1761171400027130776, 
0.030663799094298783, 0.00096036668758976, 0.003615666017887935, 1761171400094903722, 
0.042214349858668176, 0.09359232695881152, 0.003766547770699125, 1761171400136468033, 
0.06108082912288647, 0.21814797477761752, 0.004093254463549135, 1761171400186571810, 
0.08037694227016502, 0.25428705719886674, 0.006125660425985701, 1761171400236521221, 
0.11566855522386087, 0.373707195872852, 0.008397551011261557, 1761171400284549537, 
0.16558722154980016, 0.577750353081259, 0.011816330651488346, 1761171400334546068, 
0.25081400983539737, 0.7859391011529976, 0.019986689505477967, 1761171400397241650, 
0.30181900913084475, 1.024804204460579, 0.022129670137662788, 1761171400426981517, 
0.5358420016724813, 1.2838991554107617, 0.050529685566825265, 1761171400536509023, 
0.7278887108090037, 1.345935271041851, 0.10987225153355262, 1761171400637525296, 
0.8886861948910657, 1.1799358730759109, 0.1428800279737633, 1761171400735652638, 
1.1194085231773931, 1.3671965825899728, 0.1749254580271153, 1761171400829330688, 
1.2335485515355287, 1.1719301607849342, 0.21836501753886656, 1761171400937739974, 
1.3989209626565526, 0.8976068541302595, 0.26169183727768036, 1761171401038579364, 
1.3811160945658825, 0.48629815910302104, 0.26646738563607925, 1761171401136914038, 
1.4252046353697367, 0.10112304850076408, 0.26541418687349877, 1761171401227924619, 
1.4880892104356807, 0.35405667115190337, 0.2860892571679062, 1761171401336771011, 
1.387098630577517, -0.14478482257418337, 0.29906426964120036, 1761171401436555067, 
1.3716492161960505, -0.3888302953889759, 0.2829035177180703, 1761171401536616341, 
1.3206501880108115, -0.23967005133163866, 0.2588885135844406, 1761171401626942358, 
1.2988689044278168, -0.2541432566958062, 0.26665403633467316, 1761171401737049409, 
1.262814040543155, -0.18636964245757984, 0.27163638642694193, 1761171401836844273, 
1.1039183549647704, -0.651990987311203, 0.24368401203123072, 1761171401936485184, 
1.1325084322462722, -0.42704907213876586, 0.22258305467960676, 1761171402027671140, 
0.9717311736692249, -0.3889364175319783, 0.2136568022870353, 1761171402136279089, 
0.899086087417779, -0.7340195981990888, 0.2094963270112444, 1761171402236935484, 
0.812602209278114, -0.5268789595278206, 0.18009778988429004, 1761171402337624192, 
