e, e_dot, e_int, stamp, 
0.7853983792877159, -2.8306192823904796e-11, 0.07770159951749774, 1761168291122944633, 
0.7853983792849875, -2.5762798900643266e-11, 0.07854942057434432, 1761168291173063731, 
0.7853983792831684, -3.844800839954699e-11, 0.06282198531882156, 1761168291202932047, 
0.7853983792829863, -2.129893293275733e-11, 0.07124104439586612, 1761168291263770621, 
0.7853983792829863, -9.975939280372005e-13, 0.10233566759237415, 1761168291333229830, 
0.7848674239831419, -0.004426584491706877, 0.08593582684201781, 1761168291373212146, 
0.7794707126302924, -0.039780462014906114, 0.07116968273001763, 1761168291424094932, 
0.7706405058968396, -0.09564996654379594, 0.07759802844777476, 1761168291472910739, 
0.7581426704915212, -0.14356785157793606, 0.07605243531019847, 1761168291522939044, 
0.7245727688554033, -0.20759235063076575, 0.10518460346783144, 1761168291612948007, 
0.660130627267639, -0.3036146744781187, 0.14986787891336628, 1761168291732755159, 
0.5998391074581424, -0.39727714743092185, 0.1402431098475142, 1761168291824951191, 
0.5357746658390281, -0.4358367844985136, 0.11386196729751755, 1761168291922974826, 
0.47131075383867654, -0.45671204966476314, 0.10069245605751899, 1761168292012935980, 
0.40511655994135315, -0.4596698235724341, 0.08938617115044202, 1761168292112861625, 
0.3340899074699658, -0.43584508851292414, 0.0847472147381212, 1761168292222963264, 
0.26719435340236675, -0.43804738848877617, 0.07047784926952266, 1761168292322950432, 
0.21304904779937583, -0.4234332377792664, 0.05158543203909763, 1761168292413003748, 
0.14709486325877907, -0.38387401922180037, 0.04389083545312548, 1761168292532841194, 
0.10254047537448885, -0.34827849536202304, 0.03237903399757831, 1761168292622946216, 
0.05806535411685976, -0.31304791316854397, 0.019500309653406767, 1761168292722964032, 
0.025280961366773713, -0.2682855642993985, 0.011837201072336394, 1761168292813985090, 
-0.009647862341659263, -0.23750723743625501, 0.004671395073546529, 1761168292913119790, 
-0.04406100541481983, -0.22180006736570404, -0.001981033253528696, 1761168293023043741, 
-0.067706075779431, -0.18323017961060928, -0.008492947010655066, 1761168293122969091, 
-0.08217866175681332, -0.1318477477395492, -0.012347625222204055, 1761168293214039816, 
-0.09275425064542853, -0.08994028768083036, -0.01507822907189053, 1761168293309397033, 
-0.10232548723120982, -0.06410809498705519, -0.019677220484798613, 1761168293426951892, 
-0.10570059772235985, -0.039503823568669404, -0.020908989363056976, 1761168293517944470, 
-0.10605078035332383, -0.01354246248126807, -0.019896511036623845, 1761168293616999424, 
-0.10791564187321856, -0.007913618735576023, -0.020389337729863174, 1761168293709293622, 
-0.10708016298246548, -0.004369706750322718, -0.022475970276763128, 1761168293827024741, 
-0.10230266955584799, 0.019878500411310954, -0.022069530604019727, 1761168293917957064, 
-0.09559792302580039, 0.03984076059159256, -0.019419969332037032, 1761168294018052886, 
-0.09131694737820661, 0.038133882704484645, -0.018353434659026176, 1761168294108333844, 
-0.08324145392965598, 0.038308330841544586, -0.018902491943374927, 1761168294227959043, 
-0.07620886162124041, 0.04854194337640209, -0.017524373483441588, 1761168294317982902, 
-0.06875160988063556, 0.05087311844394086, -0.014461992450720194, 1761168294418080039, 
-0.06470394160748327, 0.039850838365561324, -0.01327460689886101, 1761168294507923675, 
-0.056361057480055266, 0.038145563303646164, -0.013292557405615673, 1761168294628165302, 
-0.04793111257779514, 0.05441956815293011, -0.01183208812893295, 1761168294717965575, 
-0.0395053774903209, 0.059343879296266604, -0.00910330544756368, 1761168294818084510, 
-0.03495377510392206, 0.04400738581661417, -0.007964001175845527, 1761168294913177208, 
-0.030277824032747702, 0.030137807066733857, -0.007156663892378334, 1761168295023074117, 
-0.02459005441400597, 0.03316125579477722, -0.006281402816152705, 1761168295122973039, 
-0.02256123896703055, 0.026479961672007155, -0.004905132187860591, 1761168295213124024, 
-0.019676260630935527, 0.017107535376784652, -0.004238234483424329, 1761168295313234431, 
-0.01703397814575791, 0.017630469228307855, -0.00414642791853828, 1761168295422993665, 
-0.01310532441268486, 0.020993124162435445, -0.003499335865443517, 1761168295523971938, 
-0.012928021592494954, 0.013624469393513002, -0.0027433184204552403, 1761168295614088780, 
-0.012747227124924265, 0.0012669772578963838, -0.0024396274003642827, 1761168295712697416, 
-0.01584137574803235, -0.008720880829889706, -0.0028941148823791204, 1761168295823218129, 
-0.017691005650352087, -0.015450614140458391, -0.003259417817268634, 1761168295923983850, 
-0.026796597411388956, -0.03991879076313424, -0.0038321751817789185, 1761168296013782030, 
-0.03757672449976357, -0.0700682525284501, -0.00516667347355879, 1761168296112860319, 
