x, y, theta, stamp, 
-2.0749782336793032e-08, 2.4254953601143825e-08, -2.3839681947630494e-07, 1761168291024011911, 
-2.0749782336793032e-08, 2.4254953601143825e-08, -2.383937756615843e-07, 1761168291073051530, 
-2.0749782336793032e-08, 2.4254953601143825e-08, -2.3839263561250383e-07, 1761168291122944633, 
-2.0749782336793032e-08, 2.4254953601143825e-08, -2.3838990710578948e-07, 1761168291173063731, 
-2.0749782336793032e-08, 2.4254953601143825e-08, -2.3838808810131327e-07, 1761168291202932047, 
-2.0749782336793032e-08, 2.4254953601143825e-08, -2.3838790600443129e-07, 1761168291263770621, 
-2.0749782336793032e-08, 2.4254953601143825e-08, -2.3838790600443129e-07, 1761168291333229830, 
0.0004249687190167606, 3.693733015097678e-05, 0.0007247999251657468, 1761168291373212146, 
0.0037209622096270323, 0.0003698986256495118, 0.0076064151896466795, 1761168291424094932, 
0.009115610271692276, 0.0008961100829765201, 0.018888060443456003, 1761168291472910739, 
0.015831392258405685, 0.0013014123542234302, 0.034583124266510556, 1761168291522939044, 
0.03251546621322632, 0.0032311915419995785, 0.07573289384132524, 1761168291612948007, 
0.06326405704021454, 0.007071938831359148, 0.15437946589315654, 1761168291732755159, 
0.09105663001537323, 0.011950220912694931, 0.22723585503431917, 1761168291824951191, 
0.12062545120716095, 0.01999000832438469, 0.3036937284980256, 1761168291922974826, 
0.14653748273849487, 0.029083237051963806, 0.3783790693041678, 1761168292012935980, 
0.17462816834449768, 0.04139476642012596, 0.45482657517401376, 1761168292112861625, 
0.20460623502731323, 0.05708862096071243, 0.535968311439669, 1761168292222963264, 
0.2303740382194519, 0.07321019470691681, 0.6105847585063993, 1761168292322950432, 
0.2529236972332001, 0.089878611266613, 0.670419514495149, 1761168292413003748, 
0.28092995285987854, 0.11400582641363144, 0.7419291868669078, 1761168292532841194, 
0.30057492852211, 0.1332017332315445, 0.7893178524316363, 1761168292622946216, 
0.3214706480503082, 0.15568169951438904, 0.8357734534863417, 1761168292722964032, 
0.3392927348613739, 0.1768006682395935, 0.8691855392681649, 1761168292813985090, 
0.3583313822746277, 0.20065683126449585, 0.9040317931455427, 1761168292913119790, 
0.37828177213668823, 0.22792509198188782, 0.9369195021584952, 1761168293023043741, 
0.3957158625125885, 0.2534814476966858, 0.9580138758291911, 1761168293122969091, 
0.4113631546497345, 0.27624642848968506, 0.9701700325197659, 1761168293214039816, 
0.4279118776321411, 0.300819993019104, 0.9777938633106289, 1761168293309397033, 
0.44794440269470215, 0.3307231664657593, 0.9834087154882944, 1761168293426951892, 
0.46347591280937195, 0.3541271984577179, 0.9833170043373037, 1761168293517944470, 
0.48008522391319275, 0.3788851499557495, 0.9799093675551317, 1761168293616999424, 
0.49598750472068787, 0.40245699882507324, 0.9780183071572672, 1761168293709293622, 
0.5167948007583618, 0.4324529469013214, 0.9725746702666421, 1761168293827024741, 
0.5327140688896179, 0.4554809331893921, 0.9638851336923645, 1761168293917957064, 
0.5502197742462158, 0.48019251227378845, 0.9530946498565717, 1761168294018052886, 
0.5661370158195496, 0.5023894309997559, 0.9450459174935693, 1761168294108333844, 
0.5878751873970032, 0.5322684645652771, 0.9317554485350379, 1761168294227959043, 
0.6045553088188171, 0.5541609525680542, 0.9214372678560984, 1761168294317982902, 
0.6232489347457886, 0.578197717666626, 0.9105060735832119, 1761168294418080039, 
0.6404332518577576, 0.5996605753898621, 0.9037055882786837, 1761168294507923675, 
0.663217306137085, 0.627615213394165, 0.8919197675322796, 1761168294628165302, 
0.680500864982605, 0.6487683057785034, 0.880604448304495, 1761168294717965575, 
0.700068473815918, 0.6718449592590332, 0.8698090404621802, 1761168294818084510, 
0.7187255024909973, 0.6935408115386963, 0.8631762551662291, 1761168294913177208, 
0.7407896518707275, 0.719078004360199, 0.8558512616130517, 1761168295023074117, 
0.7608562111854553, 0.7419419884681702, 0.8480112232650721, 1761168295122973039, 
0.7790226340293884, 0.7624591588973999, 0.844067621722334, 1761168295213124024, 
0.7993515729904175, 0.7852833271026611, 0.8389310723882143, 1761168295313234431, 
0.8219995498657227, 0.8103458881378174, 0.8341188453014614, 1761168295422993665, 
0.8425044417381287, 0.8327586650848389, 0.8285057835209654, 1761168295523971938, 
0.8607888221740723, 0.8529755473136902, 0.8256160619960369, 1761168295614088780, 
0.8813312649726868, 0.8753606677055359, 0.8226797157424456, 1761168295712697416, 
0.9042941927909851, 0.9003174304962158, 0.8215898454144756, 1761168295823218129, 
0.9250496029853821, 0.9224974513053894, 0.8198281916823449, 1761168295923983850, 
0.9427728056907654, 0.9420115351676941, 0.8188020175892308, 1761168296013782030, 
0.9607337117195129, 0.9610522985458374, 0.8189016387831601, 1761168296112860319, 
0.9775644540786743, 0.9795542359352112, 0.8151898851652232, 1761168296222987688, 
