e, e_dot, e_int, stamp, 
0.7850091911750607, 7.613212353314116e-06, 0.07140201639596463, 1761172053743069266, 
0.7850097028894067, 6.828893909019323e-06, 0.07846761824025542, 1761172053792058148, 
0.785010214660969, 6.9530667034788154e-06, 0.0770353901459253, 1761172053841202308, 
0.785010726430999, 6.249651248738812e-06, 0.08677680953173389, 1761172053902600416, 
0.7850112382113033, 6.251242227722754e-06, 0.08675985099689329, 1761172053951722901, 
0.7850112382113033, 3.472817687232765e-06, 0.0781303687998719, 1761172054002128145, 
0.7862805623682267, 0.004703165145536794, 0.11024957341430937, 1761172054092090551, 
0.9162322673711951, 0.43805673061590406, 0.15747734537895927, 1761172054192048734, 
1.1557876703261254, 1.152794420765043, 0.2009858366972519, 1761172054303040208, 
1.2957217391596216, 1.1943777180149489, 0.2348482029324901, 1761172054401252609, 
1.5540011453725706, 1.4226495887310835, 0.2524212308517439, 1761172054492095681, 
1.6302513357533963, 1.2017960273408097, 0.2850400502092763, 1761172054592128741, 
1.6866196170841903, 0.4258072236337022, 0.3400673067896507, 1761172054701545221, 
1.6922648194180048, 0.19060593468646905, 0.3490933140825262, 1761172054801202719, 
1.7562809334591387, 0.2558444312862612, 0.3247281834661006, 1761172054891253727, 
1.6912571271370243, 0.022010133807968124, 0.3270379287050376, 1761172054992088208, 
1.5359640635773504, -0.688768047576758, 0.3489854243099372, 1761172055101338171, 
1.4477108921274686, -0.7657029356155007, 0.3272990620587561, 1761172055202122743, 
1.3488322496453644, -0.6581947844411574, 0.275493095404028, 1761172055292100528, 
1.2683042432923635, -0.6347044775744134, 0.25742528903234124, 1761172055392111639, 
1.1963429712121794, -0.4865408822560718, 0.26690669249987425, 1761172055502071523, 
1.0223760417164627, -0.8025193466687637, 0.24315280620312824, 1761172055601303940, 
0.92291977596479, -0.9492530894612331, 0.199065214739068, 1761172055692162009, 
0.9022809178225764, -0.43412424448081416, 0.18054376398449387, 1761172055791511735, 
0.774924424055861, -0.4546070405517156, 0.18158573609322864, 1761172055901673930, 
0.7558103387403883, -0.44907436243730636, 0.17044239695653282, 1761172056001673632, 
0.6354723547146153, -0.49633039181975486, 0.13915768389240116, 1761172056094394676, 
0.5029662832954584, -0.886237506967474, 0.12002606129617716, 1761172056191763841, 
0.3269853890383194, -1.0423257210092358, 0.09623544168054861, 1761172056291406817, 
0.08122848047068709, -1.3303342478624993, 0.06381330592584679, 1761172056401864903, 
-0.30358914661812775, -2.1725779891691612, 0.006978458693848954, 1761172056491506521, 
-0.7753209912800628, -3.001641395626391, -0.06310430232048703, 1761172056591617722, 
-1.3951931827034674, -3.4474437550129586, -0.17335868120462491, 1761172056701714413, 
-1.6821269575073872, -2.8380842916307167, -0.2691561491565469, 1761172056801206007, 
-1.922080944237642, -1.8492736514578594, -0.3159129410987378, 1761172056891284885, 
-1.9854748242462248, -1.097521102889204, -0.3557000788600085, 1761172056992111339, 
-2.096623158175323, -0.5831875916449768, -0.40026540993368964, 1761172057091278297, 
-2.0648505199301774, -0.2772130381489614, -0.42831531875582224, 1761172057201149361, 
-2.046012045816455, 0.1661765699051073, -0.4135369466575765, 1761172057291135517, 
-1.918733152042976, 0.49003228127359816, -0.3837660766034725, 1761172057392090559, 
-1.7908154617243408, 0.8452934735974752, -0.38614486981084856, 1761172057492407761, 
-1.6893038461780843, 0.7362016454992628, -0.37623415045818315, 1761172057601153959, 
-1.5963377384094626, 0.6549824378529047, -0.33652769012604666, 1761172057691283288, 
-1.5098084406037693, 0.6299834495262544, -0.3051879224010375, 1761172057792077389, 
-1.4263697239920736, 0.5794759207465744, -0.2955442133157726, 1761172057886899290, 
-1.3077153873154517, 0.6392041231881086, -0.2958981868978928, 1761172058001247235, 
-1.2421411536604399, 0.5890153832952394, -0.2707164784682643, 1761172058091150603, 
-1.1890559620411112, 0.41844160223945054, -0.2378415416868691, 1761172058192084711, 
-1.0907433468283636, 0.4756899290258243, -0.24657490361060516, 1761172058301183884, 
-1.0409973103716155, 0.464596075100369, -0.23253774163915106, 1761172058402158770, 
-0.9841965865060679, 0.37696315557972787, -0.19731348330566048, 1761172058491155762, 
-0.9387915702243064, 0.36410039047342635, -0.18672396592232857, 1761172058591151565, 
-0.8304405153001199, 0.477320890264018, -0.19347083492959874, 1761172058701952036, 
-0.7748260285548009, 0.5109386892609851, -0.1789496642544158, 1761172058802172292, 
-0.7073351413326654, 0.4377779122352215, -0.14585586537150388, 1761172058891162136, 
