x, y, th, stamp, 
-9.714509010314941, -3.5181949138641357, -0.001244690144662439, 1759353289830942043, 
-9.719883918762207, -3.5166139602661133, -0.00080652492828436, 1759353289991005170, 
-9.722492218017578, -3.5158162117004395, -0.000889926869606573, 1759353290032059627, 
-9.725263595581055, -3.515301465988159, -0.0012516985925481422, 1759353290081245744, 
-9.72812271118164, -3.5146102905273438, -0.0010071653549327461, 1759353290131726682, 
-9.730849266052246, -3.5142323970794678, -0.0009367866900792684, 1759353290181266286, 
-9.733516693115234, -3.513683557510376, -0.0008813519881580834, 1759353290232425271, 
-9.736445426940918, -3.513575553894043, -0.001099017830395003, 1759353290288605383, 
-9.739583015441895, -3.513862133026123, -0.0010823118582174932, 1759353290336279710, 
-9.743441581726074, -3.5141260623931885, -0.0011989900455416152, 1759353290387085544, 
-9.747467994689941, -3.5143051147460938, -0.000956741080972271, 1759353290439367678, 
-9.75088882446289, -3.5152292251586914, -0.0011268826166058322, 1759353290485635938, 
-9.754124641418457, -3.5161988735198975, -0.00140804774801637, 1759353290527013945, 
-9.758317947387695, -3.517319679260254, -0.0012642136773950055, 1759353290577027415, 
-9.764182090759277, -3.5195374488830566, -0.0014231598927353232, 1759353290645033643, 
-9.766698837280273, -3.5206475257873535, -0.00145112834476317, 1759353290675218152, 
-9.772873878479004, -3.5239291191101074, -0.0014022860589966678, 1759353290737419611, 
-9.778535842895508, -3.5274176597595215, -0.0015556333060699173, 1759353290788375484, 
-9.783684730529785, -3.5315544605255127, -0.002083315224209273, 1759353290836319639, 
-9.78869342803955, -3.535611152648926, -0.0021208497480499316, 1759353290881270254, 
-9.793888092041016, -3.540144920349121, -0.002495550052863628, 1759353290931192987, 
-9.798086166381836, -3.544572114944458, -0.0027983097178048626, 1759353290981015664, 
-9.80187702178955, -3.5484607219696045, -0.002879558890830217, 1759353291032291652, 
-9.805400848388672, -3.5532097816467285, -0.0029319498302305554, 1759353291091161493, 
-9.80854320526123, -3.5577802658081055, -0.002788037272611639, 1759353291141156639, 
-9.811751365661621, -3.5626325607299805, -0.0024091059127209014, 1759353291191182787, 
-9.814111709594727, -3.5666680335998535, -0.002463444051579877, 1759353291231000833, 
-9.816818237304688, -3.5719709396362305, -0.0024599840733964965, 1759353291280954358, 
-9.819246292114258, -3.577502727508545, -0.0022339472123345224, 1759353291331093657, 
-9.821393013000488, -3.583174228668213, -0.0019153256586509945, 1759353291381047819, 
-9.82351016998291, -3.589139223098755, -0.002199684278395032, 1759353291431941463, 
-9.825608253479004, -3.598156690597534, -0.0020145135115290807, 1759353291491186647, 
-9.827352523803711, -3.607752799987793, -0.0023148574639791017, 1759353291541039615, 
-9.828763008117676, -3.618705987930298, -0.002200330617714226, 1759353291593010722, 
-9.828810691833496, -3.626936435699463, -0.0026298806382063214, 1759353291631001201, 
-9.828463554382324, -3.6361467838287354, -0.002761143056791898, 1759353291680956259, 
-9.827981948852539, -3.6441757678985596, -0.0031573214650105056, 1759353291730952052, 
-9.826788902282715, -3.6514036655426025, -0.0034952943023493525, 1759353291781070005, 
-9.825512886047363, -3.6576292514801025, -0.003348500567332194, 1759353291826947303, 
-9.823030471801758, -3.666428565979004, -0.0030548223233799383, 1759353291891730114, 
-9.820618629455566, -3.6737890243530273, -0.002888326319888756, 1759353291941013926, 
-9.818222999572754, -3.6806139945983887, -0.002558952060642741, 1759353291987031761, 
-9.815366744995117, -3.6870577335357666, -0.0023962454998090123, 1759353292030997783, 
-9.811820030212402, -3.6942882537841797, -0.002336326326215961, 1759353292080954223, 
-9.807745933532715, -3.7013542652130127, -0.0021038959947498, 1759353292130958454, 
-9.803627967834473, -3.7081680297851562, -0.0022901125480508334, 1759353292181006098, 
-9.799181938171387, -3.7144618034362793, -0.002508516910961986, 1759353292227302496, 
-9.792656898498535, -3.7230966091156006, -0.002951359112318311, 1759353292291018174, 
-9.787047386169434, -3.729551076889038, -0.0031821256096024202, 1759353292342034078, 
-9.78166389465332, -3.7352232933044434, -0.003220087538264521, 1759353292388014559, 
-9.7762451171875, -3.7405076026916504, -0.0035143322557845765, 1759353292431003208, 
-9.769389152526855, -3.7464189529418945, -0.0035650422065803366, 1759353292480996663, 
-9.762380599975586, -3.7518460750579834, -0.003761882710175703, 1759353292530956644, 
-9.754915237426758, -3.757246255874634, -0.003866283953108177, 1759353292582053112, 
-9.745465278625488, -3.7631101608276367, -0.004048867600987297, 1759353292641524708, 
-9.73735523223877, -3.767547845840454, -0.004076552616549011, 1759353292691630691, 
-9.728602409362793, -3.7719979286193848, -0.003726620482477023, 1759353292742251457, 
-9.72035026550293, -3.775388717651367, -0.003911179692442012, 1759353292788032422, 
-9.712696075439453, -3.778031587600708, -0.0037672238913819336, 1759353292831001547, 
-9.703133583068848, -3.7810771465301514, -0.003491392533835345, 1759353292880955159, 
-9.693389892578125, -3.783639430999756, -0.003977571601211038, 1759353292930956371, 
-9.683320999145508, -3.7859225273132324, -0.0038880753482573817, 1759353292983176317, 
-9.674110412597656, -3.7872314453125, -0.004049573785036912, 1759353293028045049, 
-9.661372184753418, -3.7884180545806885, -0.0036278796678243007, 1759353293091507945, 
-9.651695251464844, -3.78881573677063, -0.004094711342490029, 1759353293139130659, 
-9.641192436218262, -3.7886805534362793, -0.0038612392887217273, 1759353293188989269, 
-9.632305145263672, -3.7883896827697754, -0.003701081928644234, 1759353293231001236, 
-9.621353149414062, -3.7872140407562256, -0.003858983716669163, 1759353293280953234, 
-9.61081600189209, -3.785733938217163, -0.004149054835313782, 1759353293330974334, 
-9.600909233093262, -3.7836010456085205, -0.00412015748866928, 1759353293379097185, 
-9.590243339538574, -3.7809345722198486, -0.0030057701764005136, 1759353293429169461, 
-9.576929092407227, -3.7766482830047607, -0.0027267696679477618, 1759353293492697540, 
-9.5670747756958, -3.772739887237549, -0.0024061832533953066, 1759353293539019690, 
-9.556640625, -3.7680840492248535, -0.0028745350482141255, 1759353293589033577, 
-9.547954559326172, -3.763669729232788, -0.0030761316687387594, 1759353293631014044, 
-9.538156509399414, -3.7581264972686768, -0.002933424209350015, 1759353293681095034, 
-9.528099060058594, -3.751737356185913, -0.0027235688194690764, 1759353293732060816, 
-9.518912315368652, -3.745152235031128, -0.002721159542439043, 1759353293780084400, 
-9.509455680847168, -3.7378110885620117, -0.0031553369896594264, 1759353293829765081, 
-9.498420715332031, -3.7283663749694824, -0.003974954880122363, 1759353293891808415, 
-9.490086555480957, -3.720028877258301, -0.0047690950840589144, 1759353293940110520, 
-9.48134994506836, -3.7108986377716064, -0.00415522908458111, 1759353293990033679, 
-9.47487735748291, -3.7032012939453125, -0.0032568674498329045, 1759353294031006804, 
-9.467020034790039, -3.6933674812316895, -0.002953623201716141, 1759353294082955686, 
-9.459965705871582, -3.683011054992676, -0.0022935506485094246, 1759353294132950313, 
-9.453534126281738, -3.6723406314849854, -0.0022129510477407583, 1759353294180090785, 
-9.447372436523438, -3.6609909534454346, -0.0019727842397889864, 1759353294230324013, 
-9.442620277404785, -3.6513116359710693, -0.001625092558145331, 1759353294272141772, 
-9.435700416564941, -3.635096788406372, -0.0018777627021750612, 1759353294339998949, 
-9.431231498718262, -3.6228229999542236, -0.002454878428519813, 1759353294390044443, 
-9.428065299987793, -3.6118175983428955, -0.002302173288009737, 1759353294432004079, 
-9.42467212677002, -3.5990607738494873, -0.002242322553851043, 1759353294481958146, 
-9.422191619873047, -3.5858771800994873, -0.00257836702382116, 1759353294530972864, 
-9.420042991638184, -3.5719656944274902, -0.0031441015802033618, 1759353294581132776, 
-9.418477058410645, -3.558239459991455, -0.0029266133058016936, 1759353294631690065, 
-9.417943954467773, -3.5412790775299072, -0.003048223980707324, 1759353294691257653, 
-9.418088912963867, -3.5272738933563232, -0.002452678636089602, 1759353294741038328, 
-9.418988227844238, -3.513092041015625, -0.002466296018927062, 1759353294791067269, 
-9.42027759552002, -3.5015501976013184, -0.002568895989059465, 1759353294830989687, 
-9.42230224609375, -3.4873037338256836, -0.0019302314132562009, 1759353294880958955, 
-9.425287246704102, -3.473153591156006, -0.002478869573436015, 1759353294931008657, 
-9.429105758666992, -3.459137439727783, -0.002699911517118075, 1759353294981096989, 
-9.433485984802246, -3.445016860961914, -0.0030263046993089437, 1759353295031838659, 
-9.437874794006348, -3.433664083480835, -0.0028873968956381287, 1759353295071344541, 
-9.446389198303223, -3.413686752319336, -0.0019190203352610752, 1759353295141013442, 
-9.45351505279541, -3.3996694087982178, -0.002059781532743689, 1759353295191041134, 
-9.459776878356934, -3.388665199279785, -0.002069939793516107, 1759353295230990711, 
-9.467918395996094, -3.3753509521484375, -0.001172730973328204, 1759353295281958727, 
-9.477008819580078, -3.362471342086792, -0.0009018934272892862, 1759353295331017921, 
-9.486794471740723, -3.3498270511627197, -0.0008246121004423638, 1759353295381093217, 
-9.497315406799316, -3.3371760845184326, -0.00015517114365983512, 1759353295432376425, 
-9.50615406036377, -3.327802896499634, -0.00013503731498847084, 1759353295471624400, 
-9.52232551574707, -3.3116979598999023, -0.0004591344215048323, 1759353295541118073, 
-9.53477668762207, -3.3007686138153076, -0.0009028700624581285, 1759353295592011414, 
-9.544842720031738, -3.292640209197998, -0.0005592231689945872, 1759353295631045224, 
-9.558298110961914, -3.2824885845184326, -0.00028099537947734904, 1759353295682958046, 
-9.572027206420898, -3.2735419273376465, -0.000398877778824611, 1759353295730972117, 
-9.586490631103516, -3.264843225479126, -0.00048719549257460735, 1759353295781027489, 
-9.600847244262695, -3.2570016384124756, -0.0005235799552413424, 1759353295832477397, 
-9.612641334533691, -3.2512271404266357, -0.0007227121764230424, 1759353295871443860, 
-9.634368896484375, -3.2417194843292236, -7.009520791947696e-05, 1759353295941005417, 
-9.650067329406738, -3.235743999481201, -0.0006835910788013165, 1759353295992034528, 
-9.662788391113281, -3.2316319942474365, -0.0007084506913749926, 1759353296032116043, 
-9.678924560546875, -3.227186918258667, -0.000990474219564147, 1759353296081959081, 
-9.695291519165039, -3.2232322692871094, -0.0008353477041268248, 1759353296132023037, 
-9.711874008178711, -3.220150947570801, -0.00040628805153834915, 1759353296181009039, 
-9.72880744934082, -3.217545509338379, -0.0011817332848039672, 1759353296231850909, 
-9.742061614990234, -3.21641206741333, -0.00065443760878251, 1759353296271323804, 
-9.76545238494873, -3.214956521987915, -7.007833751273093e-05, 1759353296342038525, 
-9.782482147216797, -3.2150039672851562, -0.00018960759833066364, 1759353296392011601, 
-9.79617691040039, -3.215458631515503, 3.2917404679388e-05, 1759353296432046809, 
-9.812979698181152, -3.216744899749756, -0.0007070152764733376, 1759353296480980484, 
-9.830131530761719, -3.218829393386841, -0.000908608132050875, 1759353296530987299, 
-9.846935272216797, -3.2214674949645996, -0.0010662581301370574, 1759353296581122737, 
-9.86373519897461, -3.224666118621826, -0.0014720884684999757, 1759353296631917826, 
-9.883870124816895, -3.2298424243927, -0.001050003971149584, 1759353296691003129, 
-9.900211334228516, -3.234731912612915, -0.0008019017125522536, 1759353296742324575, 
-9.916522026062012, -3.2402913570404053, -5.57835368804616e-05, 1759353296792031178, 
-9.929327011108398, -3.245374917984009, -0.0006259541152951471, 1759353296832092971, 
-9.94512939453125, -3.2524571418762207, -0.0006156509128010684, 1759353296881064280, 
-9.96069622039795, -3.2599074840545654, -0.0006349287241351748, 1759353296931008751, 
-9.975811958312988, -3.2679922580718994, -0.0011100525966935763, 1759353296981322888, 
-9.990822792053223, -3.2769546508789062, -0.0008821853301338802, 1759353297032360605, 
-10.002604484558105, -3.284201145172119, -0.0007918965203776507, 1759353297072758325, 
-10.022573471069336, -3.2984719276428223, -0.001732978995846613, 1759353297141300249, 
-10.036299705505371, -3.308950185775757, -0.0009044249353318335, 1759353297192286251, 
-10.047013282775879, -3.3177847862243652, -0.0007200400662876884, 1759353297233185198, 
-10.05974292755127, -3.3297619819641113, -0.0002897561883946951, 1759353297280811962, 
-10.072484970092773, -3.3418920040130615, 0.0005027565970588718, 1759353297331271751, 
-10.08466911315918, -3.3547658920288086, 0.0005192058573518767, 1759353297381870692, 
-10.096138000488281, -3.3678650856018066, 0.000234268682506351, 1759353297432254314, 
-10.109152793884277, -3.384157180786133, 0.00031702875040128567, 1759353297491395297, 
-10.119531631469727, -3.3983654975891113, 4.476703460937293e-05, 1759353297541538362, 
-10.129599571228027, -3.4128832817077637, -0.0007150987555271538, 1759353297592113445, 
-10.13724136352539, -3.424891233444214, -0.0006728976061128333, 1759353297632118973, 
-10.146208763122559, -3.4399776458740234, -0.0014429770407799914, 1759353297681261869, 
-10.154486656188965, -3.455432176589966, -0.0010155544905027243, 1759353297731510778, 
-10.16226577758789, -3.471332550048828, -0.0004598788396150759, 1759353297781326703, 
-10.168885231018066, -3.486121416091919, 0.00018469166194372407, 1759353297827960397, 
-10.175115585327148, -3.50162672996521, 0.0005628383851451369, 1759353297875501433, 
-10.18272876739502, -3.5226006507873535, 0.0001541702474921621, 1759353297937483584, 
-10.188016891479492, -3.5394535064697266, -2.7342611331156346e-06, 1759353297988039567, 
-10.19245433807373, -3.5556976795196533, 0.0008732190080170405, 1759353298036076710, 
-10.196613311767578, -3.5732309818267822, 0.0006936823587829901, 1759353298085962728, 
-10.199281692504883, -3.587327003479004, 0.0004856564024569425, 1759353298126116761, 
-10.202653884887695, -3.6067452430725098, 0.00044895482031393706, 1759353298181006140, 
-10.205000877380371, -3.624755859375, 0.0005926581486216816, 1759353298232879800, 
-10.20626163482666, -3.638981819152832, 0.0009131912185917338, 1759353298272453382, 
-10.207597732543945, -3.663811445236206, 0.0014852458049772644, 1759353298341488858, 
-10.207805633544922, -3.6816132068634033, 0.0009302437931840039, 1759353298391000622, 
-10.207727432250977, -3.6958205699920654, 0.001008671520368196, 1759353298432019065, 
-10.207001686096191, -3.7137012481689453, 0.0007763332401348238, 1759353298480959933, 
-10.205554008483887, -3.7314274311065674, -0.00011399176360270193, 1759353298531957086, 
-10.203493118286133, -3.748985767364502, -5.169680061937448e-05, 1759353298581038378, 
-10.200666427612305, -3.7665507793426514, -0.0005006365999400131, 1759353298632649267, 
-10.196504592895508, -3.787757396697998, -0.0007794100509659817, 1759353298691661341, 
-10.192694664001465, -3.805588483810425, -0.00018631201012169873, 1759353298742013662, 
-10.187973976135254, -3.823183298110962, -0.00030158012789183007, 1759353298793041622, 
-10.183865547180176, -3.8368639945983887, 0.0008900709946830907, 1759353298831994666, 
-10.178308486938477, -3.8538856506347656, 0.000984936672898683, 1759353298881210345, 
-10.171984672546387, -3.870858907699585, 0.0015265159570107961, 1759353298931960081, 
-10.165299415588379, -3.887538433074951, 0.0024594574586612335, 1759353298982006956, 
-10.158626556396484, -3.9024085998535156, 0.0019632576190546872, 1759353299027512255, 
-10.14821720123291, -3.9236221313476562, 0.0021068716076547583, 1759353299091422942, 
-10.13966178894043, -3.9397876262664795, 0.0014699899988443814, 1759353299142040922, 
-10.131424903869629, -3.953843116760254, 0.0005527555294984083, 1759353299187014621, 
-10.122781753540039, -3.968000650405884, 0.0010258598630484752, 1759353299232033405, 
-10.112794876098633, -3.9833664894104004, 0.00016693868407419764, 1759353299281961976, 
-10.102269172668457, -3.998335599899292, 0.00035606896340004986, 1759353299331962280, 
-10.091742515563965, -4.012705326080322, -0.000194328253526842, 1759353299382100310, 
-10.081310272216797, -4.02547025680542, -0.0003553554587397457, 1759353299427954049, 
-10.066396713256836, -4.043156147003174, -0.0004958252900122185, 1759353299492687489, 
-10.054168701171875, -4.0566725730896, -0.0014123966273117846, 1759353299542014199, 
-10.042303085327148, -4.068789005279541, -0.001278089774398054, 1759353299588037665, 
-10.030957221984863, -4.080037593841553, -0.0011594934106699812, 1759353299631994717, 
-10.017338752746582, -4.092288494110107, -0.0012107599436337517, 1759353299680966071, 
-10.003396987915039, -4.104276180267334, -0.0008274633229373927, 1759353299732271016, 
-9.989264488220215, -4.115984916687012, -0.0007822002768176109, 1759353299783117918, 
-9.975886344909668, -4.125953674316406, -0.0002935757209771188, 1759353299828236557, 
-9.963017463684082, -4.135491847991943, 0.00027730987594936436, 1759353299872156821, 
-9.941420555114746, -4.149563789367676, -0.0006842913803179983, 1759353299943243011, 
-9.926875114440918, -4.158517360687256, -0.0004511316907049178, 1759353299988243795, 
-9.912984848022461, -4.166746139526367, -0.00044151472958261806, 1759353300032012387, 
-9.896882057189941, -4.17535924911499, -0.00038519731917825375, 1759353300081960994, 
-9.880523681640625, -4.183915138244629, -0.0008251987946834809, 1759353300132078874, 
-9.863615989685059, -4.191728591918945, -0.0017447095382933148, 1759353300183098791, 
-9.847818374633789, -4.198423862457275, -0.0020760096264719895, 1759353300228877467, 
-9.833078384399414, -4.204472541809082, -0.001724758751298222, 1759353300272400934, 
-9.80964469909668, -4.212833404541016, -0.0017414968442467983, 1759353300339028215, 
-9.79203987121582, -4.2187628746032715, -0.0010496143369860312, 1759353300389031267, 
-9.776653289794922, -4.223081588745117, -0.0013461277609071, 1759353300432010958, 
-9.758930206298828, -4.227875709533691, -0.0013206280409533686, 1759353300481966800, 
-9.74072551727295, -4.232226848602295, -0.0018526130277143897, 1759353300531965472, 
-9.724202156066895, -4.235586643218994, -0.002736924319510513, 1759353300578023683, 
-9.705520629882812, -4.239074230194092, -0.002442381235962708, 1759353300629340644, 
-9.68236255645752, -4.242283821105957, -0.002598967901075476, 1759353300692674928, 
-9.664533615112305, -4.244382381439209, -0.00259943220208377, 1759353300740049162, 
-9.645953178405762, -4.2460246086120605, -0.0023031518886055826, 1759353300790028822, 
-9.63034725189209, -4.246954917907715, -0.0019702111225755052, 1759353300832010726, 
-9.611723899841309, -4.247719764709473, -0.001152597760447729, 1759353300881965614, 
-9.593293190002441, -4.247700214385986, -0.0011002657854583032, 1759353300932021511, 
-9.575142860412598, -4.247433662414551, -0.001062535317667623, 1759353300980005565, 
-9.556461334228516, -4.246607303619385, -0.0013314916979957937, 1759353301030251269, 
-9.541129112243652, -4.245378017425537, -0.00125676977674323, 1759353301072436685, 
-9.515722274780273, -4.242760181427002, -0.0012603368725632206, 1759353301140325542, 
-9.496949195861816, -4.2400360107421875, -0.0015077484521046872, 1759353301190050245, 
-9.481268882751465, -4.237620830535889, -0.002043168591553084, 1759353301231996911, 
-9.462767601013184, -4.234011650085449, -0.0018060023142695838, 1759353301281966182, 
-9.444247245788574, -4.230226039886475, -0.001505844004668454, 1759353301333960065, 
-9.42693042755127, -4.225754261016846, -0.0016335668352146224, 1759353301381115326, 
-9.409089088439941, -4.220691204071045, -0.0018761739701931362, 1759353301431535767, 
-9.393625259399414, -4.216036796569824, -0.0016075066089474826, 1759353301473599653, 
-9.369365692138672, -4.207823753356934, -0.00113940879678288, 1759353301541038954, 
-9.351862907409668, -4.201542377471924, -0.0010396865552681584, 1759353301591020413, 
-9.336947441101074, -4.19553804397583, -0.0013386442311431794, 1759353301633391229, 
-9.319729804992676, -4.188233375549316, -0.0016972457537086923, 1759353301682966687, 
-9.302666664123535, -4.180729389190674, -0.002236419367815441, 1759353301732984010, 
-9.285985946655273, -4.172482490539551, -0.0018831560254282018, 1759353301782132373, 
-9.269023895263672, -4.163827896118164, -0.0014250933330081067, 1759353301832236489, 
-9.249143600463867, -4.152595520019531, -0.001037471346129009, 1759353301892263826, 
-9.23284912109375, -4.142948627471924, -0.0008012348707029231, 1759353301942313126, 
-9.217156410217285, -4.132859230041504, -0.0009112799972395673, 1759353301992061412, 
-9.204306602478027, -4.1243486404418945, -0.0009308290037726805, 1759353302031998001, 
-9.188750267028809, -4.113726615905762, -0.001594956421809743, 1759353302081979926, 
-9.173405647277832, -4.102421760559082, -0.0011337097211998072, 1759353302132011235, 
-9.158303260803223, -4.091220378875732, -0.001016838048276045, 1759353302182041911, 
-9.143730163574219, -4.079192161560059, -0.0012835036256274748, 1759353302232415695, 
-9.132176399230957, -4.069503307342529, -0.0016205537361853406, 1759353302272026826, 
-9.11246109008789, -4.051782131195068, -0.0015935323656041593, 1759353302342306020, 
-9.098484992980957, -4.0384063720703125, -0.0011873340203175076, 1759353302392045179, 
-9.087803840637207, -4.027864456176758, -0.0013776954474810693, 1759353302432009848, 
-9.074743270874023, -4.0140838623046875, -0.001282833376656033, 1759353302481968316, 
-9.061762809753418, -4.000107288360596, -0.0010120043045140515, 1759353302532031806, 
-9.049413681030273, -3.9857993125915527, -0.0004935763798482191, 1759353302581972538, 
-9.037169456481934, -3.9712653160095215, -0.0007663432918025143, 1759353302632243668, 
-9.027589797973633, -3.9591100215911865, -0.0009490571687288671, 1759353302672319449, 
-9.016073226928711, -3.943967580795288, -0.000661967565255832, 1759353302723388507, 
-9.00051498413086, -3.9221627712249756, -0.00043873917250189135, 1759353302792040988, 
-8.992073059082031, -3.9096858501434326, 0.00037087494270821123, 1759353302832042882, 
-8.98150634765625, -3.893449306488037, 1.5501678648996412e-06, 1759353302882968066, 
-8.971696853637695, -3.8772826194763184, 0.0004817868758757655, 1759353302932023601, 
-8.962024688720703, -3.8607733249664307, 4.4676988454316645e-05, 1759353302982121307, 
-8.952977180480957, -3.843885898590088, 0.00011119446536709721, 1759353303032022929, 
-8.942229270935059, -3.823326587677002, 0.0002920777231006958, 1759353303092734446, 
-8.933934211730957, -3.806039810180664, -0.00022240745992837516, 1759353303142033638, 
-8.925853729248047, -3.78857421875, 0.00014864424273016338, 1759353303192022032, 
-8.91978931427002, -3.774383306503296, 0.00016637289464000354, 1759353303232017181, 
-8.91260814666748, -3.7566118240356445, -0.00010947528514934696, 1759353303283512505, 
-8.905913352966309, -3.7386810779571533, 0.0005183527606757673, 1759353303331995097, 
-8.899664878845215, -3.7203540802001953, 0.000692290824341121, 1759353303382019345, 
-8.89374828338623, -3.7019410133361816, 0.001469196354878328, 1759353303431991655, 
-8.889321327209473, -3.6872501373291016, 0.0008283048645225979, 1759353303472629175, 
-8.88222599029541, -3.6609444618225098, 0.001006266240760773, 1759353303542019224, 
-8.877862930297852, -3.6424810886383057, 0.0009698310272424645, 1759353303592115424, 
-8.874595642089844, -3.627659320831299, 0.0012343882103105263, 1759353303632018023, 
-8.870845794677734, -3.608921527862549, 0.0011754996421360405, 1759353303681997054, 
-8.867544174194336, -3.5898935794830322, 0.0005727776587369508, 1759353303732032986, 
-8.864500999450684, -3.5707409381866455, -4.3656553407210245e-05, 1759353303782022434, 
-8.862099647521973, -3.5513603687286377, -7.958539943819554e-05, 1759353303832180864, 
-8.860297203063965, -3.5362026691436768, 0.0002947081494800928, 1759353303872597099, 
-8.858097076416016, -3.509146213531494, 3.2416839578323865e-05, 1759353303942038501, 
-8.856882095336914, -3.490039587020874, -0.0008876765025641653, 1759353303992078067, 
-8.85641098022461, -3.4743754863739014, -0.0008330184952955598, 1759353304033081050, 
-8.856135368347168, -3.4551706314086914, -0.00030309630916211934, 1759353304082034341, 
-8.856203079223633, -3.4356563091278076, -0.0005937226648741731, 1759353304132378611, 
-8.856974601745605, -3.416165828704834, -0.00018389236466431394, 1759353304182578560, 
-8.857733726501465, -3.396944046020508, -0.0003290941037627533, 1759353304232002668, 
-8.858899116516113, -3.3815197944641113, -0.0002902986217974235, 1759353304273622114, 
-8.861470222473145, -3.354135036468506, 5.2277797603568906e-05, 1759353304342336258, 
-8.863811492919922, -3.3348467350006104, 0.0008720520265372403, 1759353304392826138, 
-8.865945816040039, -3.3194377422332764, 0.0014189836657146789, 1759353304433390692, 
-8.869089126586914, -3.3003222942352295, 0.001507566666606487, 1759353304481802506, 
-8.872633934020996, -3.281435489654541, 0.0019777618746939585, 1759353304532098653, 
-8.876602172851562, -3.262366771697998, 0.002023245159927397, 1759353304582184017, 
-8.881095886230469, -3.2430295944213867, 0.0020493949137071117, 1759353304632081809, 
-8.884852409362793, -3.228034019470215, 0.0016475584927652647, 1759353304671813113, 
-8.891912460327148, -3.2020046710968018, 0.00209688990785371, 1759353304742349618, 
-8.897623062133789, -3.1833338737487793, 0.0016203006516575466, 1759353304792449519, 
-8.902639389038086, -3.168414831161499, 0.0019747933862012293, 1759353304832509172, 
-8.908902168273926, -3.149890422821045, 0.001802508063328408, 1759353304882517184, 
-8.915339469909668, -3.1329472064971924, 0.0017391684731683352, 1759353304927975679, 
-8.923011779785156, -3.1132900714874268, 0.0015062941520972248, 1759353304982054762, 
-8.929971694946289, -3.096933126449585, 0.0013360344797197384, 1759353305029687334, 
-8.937348365783691, -3.0800580978393555, 0.0009308468395950995, 1759353305076211843, 
-8.947636604309082, -3.058135747909546, -3.716243462104415e-05, 1759353305138192679, 
-8.956464767456055, -3.0404136180877686, 3.720684784324336e-05, 1759353305188191491, 
-8.965166091918945, -3.023682117462158, -0.000600473911371111, 1759353305236284421, 
-8.974750518798828, -3.0064375400543213, -0.0003934207937686354, 1759353305285972474, 
-8.982836723327637, -2.9923903942108154, -0.0009405982334751044, 1759353305326970861, 
-8.99290657043457, -2.9756200313568115, 5.411857081601849e-05, 1759353305377051753, 
-9.002889633178711, -2.959273338317871, 0.0004056627858140244, 1759353305428634305, 
-9.013795852661133, -2.942486047744751, 5.451496082690067e-05, 1759353305477378502, 
-9.027432441711426, -2.9226181507110596, 0.000637220172599831, 1759353305542488554, 
-9.038555145263672, -2.9070980548858643, 0.0003415013465929621, 1759353305592001170, 
-9.048870086669922, -2.893564224243164, 0.0004703136131181779, 1759353305632023509, 
