x, y, th, stamp, 
-9.462066650390625, -1.2768726348876953, -0.000635806712321653, 1759353936625395116, 
-9.46254825592041, -1.271166443824768, -0.0006222144437834465, 1759353936693098393, 
-9.462890625, -1.2652883529663086, -0.0002355780979091304, 1759353936742961695, 
-9.463547706604004, -1.2596837282180786, -0.00027946786893912084, 1759353936784959174, 
-9.464402198791504, -1.2510986328125, -8.331473949326161e-05, 1759353936835948929, 
-9.46580696105957, -1.2411681413650513, 3.2202925255782643e-05, 1759353936886897737, 
-9.46796989440918, -1.2311722040176392, -0.0005271712208623783, 1759353936932943540, 
-9.470807075500488, -1.2190459966659546, -0.00026697470528769626, 1759353936983919350, 
-9.475292205810547, -1.2039889097213745, -0.00040799028100051496, 1759353937047654675, 
-9.479425430297852, -1.1930749416351318, -0.0003539124324119752, 1759353937093980407, 
-9.484051704406738, -1.1822540760040283, -0.0007091395786198598, 1759353937143958411, 
-9.488102912902832, -1.1737983226776123, -0.0008975929595143928, 1759353937183955546, 
-9.493672370910645, -1.163049340248108, -0.0010442659854600729, 1759353937235030709, 
-9.499804496765137, -1.1530249118804932, -0.0015527118137503954, 1759353937283911931, 
-9.506341934204102, -1.1431533098220825, -0.0014238118162294036, 1759353937333933122, 
-9.513195037841797, -1.13346529006958, -0.0008688452852999307, 1759353937383753835, 
-9.519598007202148, -1.1256881952285767, -0.0010340323714346515, 1759353937425624400, 
-9.530744552612305, -1.1134406328201294, -0.00030190282624847095, 1759353937494295732, 
-9.539094924926758, -1.105493426322937, -0.0005685739678817157, 1759353937544963732, 
-9.546011924743652, -1.0992088317871094, -0.0006363888392363804, 1759353937584940004, 
-9.555085182189941, -1.0918625593185425, -0.0006950237118986444, 1759353937634939783, 
-9.564980506896973, -1.0848125219345093, -0.0010571003822179678, 1759353937683906076, 
-9.574857711791992, -1.078128695487976, -0.0014611177896659629, 1759353937734975320, 
-9.587065696716309, -1.0710512399673462, -0.0020448073174448283, 1759353937795481559, 
-9.593352317810059, -1.0678999423980713, -0.0027386888189176884, 1759353937825459786, 
-9.608470916748047, -1.0608885288238525, -0.0027929765072364924, 1759353937893974342, 
-9.619572639465332, -1.056574821472168, -0.0029362028080255204, 1759353937943940729, 
-9.628876686096191, -1.0532748699188232, -0.0024292611487515626, 1759353937984970852, 
-9.6403226852417, -1.0499186515808105, -0.002924487206411907, 1759353938033939994, 
-9.651697158813477, -1.0471522808074951, -0.003368375643711242, 1759353938084903234, 
-9.663139343261719, -1.0449950695037842, -0.0036040196832522113, 1759353938134986456, 
-9.676987648010254, -1.0433036088943481, -0.003434467824682466, 1759353938195457843, 
-9.684152603149414, -1.0425372123718262, -0.0032839426767018653, 1759353938225701751, 
-9.701172828674316, -1.0420395135879517, -0.0034227505948862414, 1759353938295210825, 
-9.712985038757324, -1.0423470735549927, -0.003860640798991525, 1759353938344961420, 
-9.72240161895752, -1.0431936979293823, -0.0037394958319157227, 1759353938384980040, 
-9.73416805267334, -1.0444962978363037, -0.004091874166758364, 1759353938435975746, 
